title,price,price_clean
Subnautica 2,Rp 350 999,350999
Forza Horizon 6,Rp 899 000,899000
Counter-Strike 2,Free,0
PUBG: BATTLEGROUNDS,Free,0
Overwatch®,Free,0
Apex Legends™,Free,0
Battlefield™ 6,Rp 799 000,799000
Season 3 Battlefield Pro - Battlefield™ 6 and REDSEC,Rp 289 000,289000
Red Dead Redemption 2,Rp 219 750,219750
Diablo® IV,Rp 446 400,446400
Subnautica,Rp 87 749,87749
Heroes of Might and Magic: Olden Era,Rp 224 999,224999
Devil May Cry 5,Rp 58 350,58350
Gamble With Your Friends,Rp 74 000,74000
Warframe,Free,0
Palia,Free,0
The Seven Deadly Sins: Origin,Free,0
Dota 2,Free,0
Subnautica: Below Zero,Rp 87 749,87749
NBA 2K26,Rp 111 860,111860
ARC Raiders,Rp 479 000,479000
Far Far West,Rp 136 999,136999
Windrose,Rp 245 999,245999
War Thunder,Free,0
Battlefield™ REDSEC,Free,0
Directive 8020,Rp 583 000,583000
Crimson Desert,Rp 799 000,799000
Conan Exiles Enhanced,Rp 187 499,187499
Grand Theft Auto V Enhanced,Rp 439 000,439000
Outbound,Rp 179 100,179100
Nine Sols,Rp 98 399,98399
Delta Force,Free,0
Dead as Disco,Rp 171 999,171999
LEGO® Batman™: Legacy of the Dark Knight,Rp 1 149 000,1149000
Marvel Rivals,Free,0
Dead by Daylight,Rp 219 890,219890
Tom Clancy's Rainbow Six Siege,Free,0
Hell is Us,Rp 180 000,180000
Slay the Spire 2,Rp 211 000,211000
Everything is Crab: The Animal Evolution Roguelite,Rp 81 899,81899
Where Winds Meet,Free,0
Wuthering Waves,Free,0
Kingdom Come: Deliverance II,Rp 427 500,427500
Fallout 76,Rp 532 000,532000
VRChat,Free,0
Cities: Skylines II,Rp 394 799,394799
Librarian: Tidy Up the Arcane Library!,Rp 49 724,49724
Rust,Rp 329 000,329000
PRAGMATA,Rp 779 000,779000
Call of Duty®: Black Ops III,Rp 294 030,294030
