title,price,review,discount,price_clean
Subnautica 2,Rp 350 999,No Reviews,0%,350999
Forza Horizon 6,Rp 899 000,No Reviews,0%,899000
PUBG: BATTLEGROUNDS,Free,"Mixed<br>66% of the 445,178 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Counter-Strike 2,Free,"Very Positive<br>86% of the 2,535,804 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Overwatch®,Free,"Mostly Negative<br>39% of the 155,734 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Apex Legends™,Free,"Mostly Positive<br>76% of the 441,847 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Battlefield™ 6,Rp 799 000,"Mixed<br>68% of the 142,871 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,799000
Season 3 Battlefield Pro - Battlefield™ 6 and REDSEC,Rp 289 000,Mixed<br>69% of the 42 user reviews for this game are positive.,0%,289000
Red Dead Redemption 2,Rp 219 750,"Very Positive<br>91% of the 296,776 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-75%,219750
Diablo® IV,Rp 446 400,"Mostly Positive<br>74% of the 18,877 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-40%,446400
Subnautica,Rp 87 749,"Overwhelmingly Positive<br>96% of the 178,324 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-75%,87749
Heroes of Might and Magic: Olden Era,Rp 224 999,"Very Positive<br>89% of the 3,913 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-25%,224999
Devil May Cry 5,Rp 58 350,"Overwhelmingly Positive<br>95% of the 37,765 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-85%,58350
Gamble With Your Friends,Rp 74 000,"Very Positive<br>88% of the 3,797 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,74000
Palia,Free,"Very Positive<br>88% of the 25,109 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Subnautica: Below Zero,Rp 87 749,"Very Positive<br>89% of the 53,643 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-75%,87749
Warframe,Free,"Very Positive<br>91% of the 292,767 user reviews for this game are positive.<br><br>This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
NBA 2K26,Rp 111 860,"Mostly Positive<br>74% of the 9,067 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",-86%,111860
The Seven Deadly Sins: Origin,Free,"Mixed<br>59% of the 3,822 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,0
Windrose,Rp 245 999,"Very Positive<br>89% of the 22,070 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,245999
Far Far West,Rp 136 999,"Overwhelmingly Positive<br>97% of the 14,210 user reviews for this game are positive.<br><br>The review score for this product is calculated from reviews written in your language based on your preferences.",0%,136999
